"","SST","chl","light.5","light.10","light.15","light.40"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA
"32",NA,3.27860885858536,10.7837297281421,3.32010983770432,1.02220007477136,0.00282782931784511
"33",NA,2.57030061880747,13.1951033840517,4.99930897818559,1.89411856291895,0.0147874424651001
"34",NA,2.33817825998579,14.0475677420903,5.68792610438361,2.30306797325431,0.0250651788799146
"35",NA,2.20044608414173,14.5877943533479,6.13778498220907,2.58246062258106,0.034052099794438
"36",NA,2.31894208192825,13.733930252079,5.43218770147059,2.14859568109001,0.0207995697154534
"37",NA,2.50704280734062,12.9858605905264,4.82580045867032,1.79336208829258,0.0127104552323009
"38",NA,1.87416861355305,15.8547671782368,7.3108329965068,3.37111724833014,0.070276290505575
"39",NA,1.8716387078166,16.0176147299439,7.42624448914427,3.44302869948844,0.0737560485057566
"40",NA,1.50490298536089,18.0910401223202,9.35041986902834,4.83279850887352,0.178252885379276
